restaurant,category,item_name,description,options,tags,spice_level,state,address,contact_info
Cafe Spice,Indian,BUTTER PANEER with Basmati Rice,,,"['Gluten-free', 'Vegetarian']",,,"677 Little Britain Road, New Windsor, NY",
Cafe Spice,Indian,CHICKEN CASHEW KORMA with Basmati Rice,,,['Gluten-free'],,,"677 Little Britain Road, New Windsor, NY",
Cafe Spice,Indian,CAULIFLOWER & POTATO CURRY with Saffron Rice,,,"['Dairy-free', 'Gluten-free', 'Vegetarian']",,,"677 Little Britain Road, New Windsor, NY",
Cafe Spice,Indian,BOMBAY LENTILS & SPINACH with Lemon Rice,,,"['Dairy-free', 'Gluten-free', 'Plant-based', 'Vegetarian']",,,"677 Little Britain Road, New Windsor, NY",
Cafe Spice,Indian,CHICKEN VINDALOO with Lemon Rice,,,"['Dairy-free', 'Gluten-free']",,,"677 Little Britain Road, New Windsor, NY",
Cafe Spice,Indian,COCONUT CHICKEN CURRY with Saffron Rice,,,"['Dairy-free', 'Gluten-free']",,,"677 Little Britain Road, New Windsor, NY",
Cafe Spice,Indian,SAAG PANEER with Saffron Rice,,,"['Gluten-free', 'Vegetarian']",,,"677 Little Britain Road, New Windsor, NY",
Cafe Spice,Indian,VEGETABLE KORMA with Saffron Rice,,,"['Gluten-free', 'Vegetarian']",,,"677 Little Britain Road, New Windsor, NY",
Cafe Spice,Indian,CHICKEN CURRY with Lemon Rice,,,"['Dairy-free', 'Gluten-free']",,,"677 Little Britain Road, New Windsor, NY",
Cafe Spice,Indian,CHANNA MASALA with Lemon Rice,,,"['Dairy-free', 'Gluten-free', 'Plant-based', 'Vegetarian']",,,"677 Little Britain Road, New Windsor, NY",
Cafe Spice,Indian,BUTTER CHICKEN MEATBALLS with Saffron Rice,,,['Gluten-free'],,,"677 Little Britain Road, New Windsor, NY",
Cafe Spice,Indian,CHICKEN TIKKA MASALA with Saffron Rice 2020/2021 Sofi award winner,,,['Gluten-free'],,,"677 Little Britain Road, New Windsor, NY",
Cafe Spice,Thai,JASMINE RICE ,,,"['Gluten-free', 'Non-GMO', 'Vegan', 'Vegetarian']",,,"677 Little Britain Road, New Windsor, NY",
Cafe Spice,Thai,VEGETABLE FRIED RICE ,,,"['Gluten-free', 'Non-GMO', 'Vegan', 'Vegetarian']",,,"677 Little Britain Road, New Windsor, NY",
Cafe Spice,Thai,PINEAPPLE FRIED RICE ,,,"['Gluten-free', 'Non-GMO', 'Vegan', 'Vegetarian']",,,"677 Little Britain Road, New Windsor, NY",
Cafe Spice,Thai,RED CURRY CHICKEN ,,,"['Gluten-free', 'Non-GMO']",,,"677 Little Britain Road, New Windsor, NY",
Cafe Spice,Thai,CHICKEN MASSAMAN CURRY ,,,"['Gluten-free', 'Non-GMO']",,,"677 Little Britain Road, New Windsor, NY",
