restaurant,category,item_name,description,options,tags,spice_level,state,address,contact_info
,Tacos,,,,"['mild', 'corn', 'dairy', 'gluten free', 'vegetarian']",,,,
,Tacos,,,,"['mild', 'corn', 'gluten free', 'vegetarian', 'vegan option']",,,,
,Tacos,,,,"['mild', 'corn', 'gluten free', 'vegetarian', 'vegan option']",,,,
,Tacos,,,,"['medium', 'corn', 'gluten free', 'vegetarian', 'vegan option']",,,,
,Tacos,,,,"['medium', 'corn', 'gluten free', 'vegetarian', 'vegan option']",,,,
,Tacos,,,,"['mild', 'corn', 'egg', 'gluten free', 'vegetarian']",,,,
,Tacos,,,,"['corn', 'gluten free', 'vegetarian', 'vegan option']",,,,
,Tacos,,,,"['corn', 'gluten free', 'vegetarian', 'vegan option']",,,,
,Sides,,,,"['mild', 'gluten free', 'vegetarian', 'vegan option']",,,,
,Sides,,,,"['mild', 'gluten free', 'vegetarian', 'vegan option']",,,,
,Sides,,,,"['medium', 'corn', 'gluten free', 'vegan']",,,,
,Sides,,,,"['medium', 'corn', 'gluten free', 'vegan']",,,,
,Sides,,,,"['mild', 'dairy', 'gluten free', 'vegetarian']",,,,
,Sides,,,,"['medium', 'gluten free', 'vegan']",,,,
,"Quesadillas, Nachos & Enchiladas",,,,"['mild', 'corn', 'gluten free', 'vegetarian', 'vegan option']",,,,
,"Quesadillas, Nachos & Enchiladas",,,,"['medium', 'corn', 'gluten free', 'vegetarian', 'vegan option']",,,,
,"Quesadillas, Nachos & Enchiladas",,,,"['mild', 'corn', 'gluten free', 'vegetarian', 'vegan option']",,,,
,"Quesadillas, Nachos & Enchiladas",,,,"['mild', 'corn', 'gluten free', 'vegetarian', 'vegan option']",,,,
,"Quesadillas, Nachos & Enchiladas",,,,"['mild', 'corn', 'gluten free', 'vegetarian', 'vegan option']",,,,
,"Quesadillas, Nachos & Enchiladas",,,,"['mild', 'corn', 'gluten free', 'vegetarian', 'vegan option']",,,,
,Sweets,,,,"['gluten free', 'vegan']",,,,
,Sweets,,,,"['gluten free', 'vegan']",,,,
