restaurant,category,item_name,description,options,tags,spice_level,state,address,contact_info
,Appetizers,,,,"['GF', 'V']",,,,
,Appetizers,,,,['N'],,,,
,Appetizers,,,,['V'],,,,
,Appetizers,,,,[],,,,
,Appetizers,,,,['GF'],,,,
,Appetizers,,,,[],,,,
,Appetizers,,,,['GF'],,,,
,Appetizers,,,,"['V', 'GF']",,,,
,Appetizers,,,,[],,,,
,Appetizers,,,,[],,,,
,Appetizers,,,,[],,,,
,Appetizers,,,,[],,,,
,Appetizers,,,,[],,,,
,Appetizers,,,,[],,,,
,Appetizers,,,,[],,,,
,Soups & Salads,,,,['GF'],,,,
,Soups & Salads,,,,"['GF', 'V']",,,,
,Soups & Salads,,,,[],,,,
,Tex Mex-Indo Fusion,,,,[],,,,
,Tex Mex-Indo Fusion,,,,['CAN BE MADE GF'],,,,
,Tex Mex-Indo Fusion,,,,[],,,,
,Tex Mex-Indo Fusion,,,,['GF'],,,,
,Tex Mex-Indo Fusion,,,,[],,,,
,Tex Mex-Indo Fusion,,,,['GF'],,,,
,Specialties,,,,"['V', 'GF']",,,,
,Specialties,,,,['GF'],,,,
,Specialties,,,,[],,,,
,Specialties,,,,['GF'],,,,
,Specialties,,,,[],,,,
,Specialties,,,,[],,,,
,Biryani,,,,[],,,,
,Biryani,,,,[],,,,
,Biryani,,,,[],,,,
,Biryani,,,,[],,,,
,Biryani,,,,[],,,,
,Biryani,,,,[],,,,
,Nan Bread,,,,[],,,,
,Nan Bread,,,,[],,,,
,Nan Bread,,,,[],,,,
,Nan Bread,,,,[],,,,
,Nan Bread,,,,[],,,,
,Nan Bread,,,,[],,,,
,Nan Bread,,,,[],,,,
,Enchiladas,,,,[],,,,
,Enchiladas,,,,[],,,,
,Enchiladas,,,,[],,,,
,Curries (GF),,,,[],,,,
,Curries (GF),,,,[],,,,
,Curries (GF),,,,['N'],,,,
,Curries (GF),,,,[],,,,
,Curries (GF),,,,[],,,,
,Curries (GF),,,,['N'],,,,
,Curries (GF),,,,[],,,,
,Curries (GF),,,,[],,,,
,Curries (GF),,,,[],,,,
,Kids,,,,[],,,,
,Sides,,,,[],,,,
,Sides,,,,[],,,,
,Sides,,,,[],,,,
,Sides,,,,[],,,,
,Sides,,,,[],,,,
,Sides,,,,[],,,,
,Sides,,,,[],,,,
,Sides,,,,[],,,,
,Sides,,,,[],,,,
,Desserts,,,,['N'],,,,
,Desserts,,,,[],,,,
,Desserts,,,,[],,,,
,Thali,,,,[],,,,
,Thali,,,,[],,,,
,Thali,,,,[],,,,
,Thali,,,,[],,,,
,Thali,,,,[],,,,
,Thali,,,,[],,,,
