restaurant,category,item_name,description,options,tags,spice_level,state,address,contact_info
Rasa,CHEF CURATED BOWLS,Tikka Chance On Me Bowl,chicken tikka | tomato garlic sauce | basmati rice | sauteed spinach | pickled radish | kachumber | pickled onions | toasted cumin yogurt | mint cilantro chutney[gf],,,,DC,"1247 First Street SE, Washington, D.C, 20003",https://www.rasa.co/
Rasa,CHEF CURATED BOWLS,Tikka Chance On Me Bowl,chicken tikka | tomato garlic sauce | basmati rice | sauteed spinach | pickled radish | kachumber | pickled onions | toasted cumin yogurt | mint cilantro chutney[gf],,,,DC,"485 K Street NW, Washington, D.C, 20001",https://www.rasa.co/
Rasa,CHEF CURATED BOWLS,Tikka Chance On Me Bowl,chicken tikka | tomato garlic sauce | basmati rice | sauteed spinach | pickled radish | kachumber | pickled onions | toasted cumin yogurt | mint cilantro chutney[gf],,,,maryland,"12033 Rockville Pike, Rockville, MD 20852",https://www.rasa.co/
Rasa,CHEF CURATED BOWLS,Tikka Chance On Me Bowl,chicken tikka | tomato garlic sauce | basmati rice | sauteed spinach | pickled radish | kachumber | pickled onions | toasted cumin yogurt | mint cilantro chutney[gf],,,,VIRGINIA,"2200 Crystal Drive, Ste F, Arlington, VA, 22202",https://www.rasa.co/
Rasa,CHEF CURATED BOWLS,Tikka Chance On Me Bowl,chicken tikka | tomato garlic sauce | basmati rice | sauteed spinach | pickled radish | kachumber | pickled onions | toasted cumin yogurt | mint cilantro chutney[gf],,,,VIRGINIA,"2905 District Avenue #160, Fairfax, VA, 22031",https://www.rasa.co/
Rasa,CHEF CURATED BOWLS,lamb kebab Bowl,lamb kebab | peanut sesame sauce | basmati rice | charred eggplant | cucumber cubes | pickled onions | mint cilantro | mango coconut yogurt[gf][nuts],,,,DC,"1247 First Street SE, Washington, D.C, 20003",https://www.rasa.co/
Rasa,CHEF CURATED BOWLS,lamb kebab Bowl,lamb kebab | peanut sesame sauce | basmati rice | charred eggplant | cucumber cubes | pickled onions | mint cilantro | mango coconut yogurt[gf][nuts],,,,DC,"485 K Street NW, Washington, D.C, 20001",https://www.rasa.co/
Rasa,CHEF CURATED BOWLS,lamb kebab Bowl,lamb kebab | peanut sesame sauce | basmati rice | charred eggplant | cucumber cubes | pickled onions | mint cilantro | mango coconut yogurt[gf][nuts],,,,maryland,"12033 Rockville Pike, Rockville, MD 20852",https://www.rasa.co/
Rasa,CHEF CURATED BOWLS,lamb kebab Bowl,lamb kebab | peanut sesame sauce | basmati rice | charred eggplant | cucumber cubes | pickled onions | mint cilantro | mango coconut yogurt[gf][nuts],,,,VIRGINIA,"2200 Crystal Drive, Ste F, Arlington, VA, 22202",https://www.rasa.co/
Rasa,CHEF CURATED BOWLS,lamb kebab Bowl,lamb kebab | peanut sesame sauce | basmati rice | charred eggplant | cucumber cubes | pickled onions | mint cilantro | mango coconut yogurt[gf][nuts],,,,VIRGINIA,"2905 District Avenue #160, Fairfax, VA, 22031",https://www.rasa.co/
Rasa,CHEF CURATED BOWLS,Spicy Chili Chicken Bowl,spicy chili chicken | coconut ginger sauce | basmati rice | spiced chickpeas | kachumber salad | mango salsa | cumin yogurt[gf],,,,DC,"1247 First Street SE, Washington, D.C, 20003",https://www.rasa.co/
Rasa,CHEF CURATED BOWLS,Spicy Chili Chicken Bowl,spicy chili chicken | coconut ginger sauce | basmati rice | spiced chickpeas | kachumber salad | mango salsa | cumin yogurt[gf],,,,DC,"485 K Street NW, Washington, D.C, 20001",https://www.rasa.co/
Rasa,CHEF CURATED BOWLS,Spicy Chili Chicken Bowl,spicy chili chicken | coconut ginger sauce | basmati rice | spiced chickpeas | kachumber salad | mango salsa | cumin yogurt[gf],,,,maryland,"12033 Rockville Pike, Rockville, MD 20852",https://www.rasa.co/
Rasa,CHEF CURATED BOWLS,Spicy Chili Chicken Bowl,spicy chili chicken | coconut ginger sauce | basmati rice | spiced chickpeas | kachumber salad | mango salsa | cumin yogurt[gf],,,,VIRGINIA,"2200 Crystal Drive, Ste F, Arlington, VA, 22202",https://www.rasa.co/
Rasa,CHEF CURATED BOWLS,Spicy Chili Chicken Bowl,spicy chili chicken | coconut ginger sauce | basmati rice | spiced chickpeas | kachumber salad | mango salsa | cumin yogurt[gf],,,,VIRGINIA,"2905 District Avenue #160, Fairfax, VA, 22031",https://www.rasa.co/
Rasa,CHEF CURATED BOWLS,coconut curry shrimp bowl,turmeric ginger shrimp | tamarind chili sauce | Indian rice noodles | spiced chickpeas | mango salsa | coconut powder | tamarind ginger chutney | mango coconut yogurt[gf][spicy],,,,DC,"1247 First Street SE, Washington, D.C, 20003",https://www.rasa.co/
Rasa,CHEF CURATED BOWLS,coconut curry shrimp bowl,turmeric ginger shrimp | tamarind chili sauce | Indian rice noodles | spiced chickpeas | mango salsa | coconut powder | tamarind ginger chutney | mango coconut yogurt[gf][spicy],,,,DC,"485 K Street NW, Washington, D.C, 20001",https://www.rasa.co/
Rasa,CHEF CURATED BOWLS,coconut curry shrimp bowl,turmeric ginger shrimp | tamarind chili sauce | Indian rice noodles | spiced chickpeas | mango salsa | coconut powder | tamarind ginger chutney | mango coconut yogurt[gf][spicy],,,,maryland,"12033 Rockville Pike, Rockville, MD 20852",https://www.rasa.co/
Rasa,CHEF CURATED BOWLS,coconut curry shrimp bowl,turmeric ginger shrimp | tamarind chili sauce | Indian rice noodles | spiced chickpeas | mango salsa | coconut powder | tamarind ginger chutney | mango coconut yogurt[gf][spicy],,,,VIRGINIA,"2200 Crystal Drive, Ste F, Arlington, VA, 22202",https://www.rasa.co/
Rasa,CHEF CURATED BOWLS,coconut curry shrimp bowl,turmeric ginger shrimp | tamarind chili sauce | Indian rice noodles | spiced chickpeas | mango salsa | coconut powder | tamarind ginger chutney | mango coconut yogurt[gf][spicy],,,,VIRGINIA,"2905 District Avenue #160, Fairfax, VA, 22031",https://www.rasa.co/
