,company name,company location,available on,category,food item,spice level,tags
0,Cafe Spice,"677 Little Britain Road, New Windsor, NY",Amazon Fresh,Indian,BUTTER PANEER with Basmati Rice,Medium,"['Gluten-free', 'Vegetarian']"
1,Cafe Spice,"677 Little Britain Road, New Windsor, NY",Amazon Fresh,Indian,CHICKEN CASHEW KORMA with Basmati Rice,Mild,['Gluten-free']
2,Cafe Spice,"677 Little Britain Road, New Windsor, NY",Amazon Fresh,Indian,CAULIFLOWER & POTATO CURRY with Saffron Rice,Medium,"['Dairy-free', 'Gluten-free', 'Vegetarian']"
3,Cafe Spice,"677 Little Britain Road, New Windsor, NY",Amazon Fresh,Indian,BOMBAY LENTILS & SPINACH with Lemon Rice,Medium,"['Dairy-free', 'Gluten-free', 'Plant-based', 'Vegetarian']"
4,Cafe Spice,"677 Little Britain Road, New Windsor, NY",Amazon Fresh,Indian,CHICKEN VINDALOO with Lemon Rice,Hot,"['Dairy-free', 'Gluten-free']"
5,Cafe Spice,"677 Little Britain Road, New Windsor, NY",Amazon Fresh,Indian,COCONUT CHICKEN CURRY with Saffron Rice,Medium,"['Dairy-free', 'Gluten-free']"
6,Cafe Spice,"677 Little Britain Road, New Windsor, NY",Amazon Fresh,Indian,SAAG PANEER with Saffron Rice,Medium,"['Gluten-free', 'Vegetarian']"
7,Cafe Spice,"677 Little Britain Road, New Windsor, NY",Amazon Fresh,Indian,VEGETABLE KORMA with Saffron Rice,Hot,"['Gluten-free', 'Vegetarian']"
8,Cafe Spice,"677 Little Britain Road, New Windsor, NY",Amazon Fresh,Indian,CHICKEN CURRY with Lemon Rice,Mild,"['Dairy-free', 'Gluten-free']"
9,Cafe Spice,"677 Little Britain Road, New Windsor, NY",Amazon Fresh,Indian,CHANNA MASALA with Lemon Rice,Mild,"['Dairy-free', 'Gluten-free', 'Plant-based', 'Vegetarian']"
10,Cafe Spice,"677 Little Britain Road, New Windsor, NY",Amazon Fresh,Indian,BUTTER CHICKEN MEATBALLS with Saffron Rice,Medium,['Gluten-free']
11,Cafe Spice,"677 Little Britain Road, New Windsor, NY",Amazon Fresh,Indian,CHICKEN TIKKA MASALA with Saffron Rice 2020/2021 Sofi award winner,Medium,['Gluten-free']
