,company name,company location,company outlet,category,food items,tags
0,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']",Tacos,CREAMY KALE & POTATO,"['mild', 'corn', 'dairy', 'gluten free', 'vegetarian']"
1,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']",Tacos,BRAISED MUSHROOM,"['mild', 'corn', 'gluten free', 'vegetarian', 'vegan option']"
2,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']",Tacos,CHIPOTLE SWEET POTATO HASH,"['mild', 'corn', 'gluten free', 'vegetarian', 'vegan option']"
3,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']",Tacos,GARLIC LEMON GREENS,"['medium', 'corn', 'gluten free', 'vegetarian', 'vegan option']"
4,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']",Tacos,MOROCCAN CARROT,"['medium', 'corn', 'gluten free', 'vegetarian', 'vegan option']"
5,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']",Tacos,SCRAMBLED EGG & BLACK BEAN,"['mild', 'corn', 'egg', 'gluten free', 'vegetarian']"
6,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']",Tacos,SEASONAL SAMPLER,"['corn', 'gluten free', 'vegetarian', 'vegan option']"
7,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']",Tacos,TACO TRAY,"['corn', 'gluten free', 'vegetarian', 'vegan option']"
8,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']",Sides,BLACK BEANS,"['mild', 'gluten free', 'vegetarian', 'vegan option']"
9,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']",Sides,GREEN RICE,"['mild', 'gluten free', 'vegetarian', 'vegan option']"
10,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']",Sides,CHIPS & DIP,"['medium', 'corn', 'gluten free', 'vegan']"
11,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']",Sides,CHIPS & SALSA DE ÁRBOL,"['medium', 'corn', 'gluten free', 'vegan']"
12,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']",Sides,KALE SALAD,"['mild', 'dairy', 'gluten free', 'vegetarian']"
13,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']",Sides,"""CREAMY"" CAULIFLOWER SOUP","['medium', 'gluten free', 'vegan']"
14,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']","Quesadillas, Nachos & Enchiladas",MUSHROOM QUESADILLA,"['mild', 'corn', 'gluten free', 'vegetarian', 'vegan option']"
15,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']","Quesadillas, Nachos & Enchiladas",BRUSSELS SPROUTS QUESADILLA,"['medium', 'corn', 'gluten free', 'vegetarian', 'vegan option']"
16,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']","Quesadillas, Nachos & Enchiladas",CHEESE QUESADILLA,"['mild', 'corn', 'gluten free', 'vegetarian', 'vegan option']"
17,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']","Quesadillas, Nachos & Enchiladas",SWEET POTATO NACHOS,"['mild', 'corn', 'gluten free', 'vegetarian', 'vegan option']"
18,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']","Quesadillas, Nachos & Enchiladas",BLACK BEAN ENCHILADAS,"['mild', 'corn', 'gluten free', 'vegetarian', 'vegan option']"
19,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']","Quesadillas, Nachos & Enchiladas",ENCHILADA FAMILY PACK,"['mild', 'corn', 'gluten free', 'vegetarian', 'vegan option']"
20,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']",Sweets,CANETA,"['gluten free', 'vegan']"
21,Chaia Tacos,"['3207 Grace Street, NW, Washington, DC 20007', '615 I St NW, Washington, DC 20001']","['Dining', 'Delivery', 'Pickup']",Sweets,RICH DARK COCOA BROWNIE,"['gluten free', 'vegan']"
